TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Roll,Pitch,Yaw,C1,C2,C3,C4,TimeSec,dot_GyrX,dot_GyrY,dot_GyrZ
65639567,0.0009265571716241539,0.0008897613734006882,0.0009074994595721364,-0.000325987086398527,-0.001597455469891429,-9.817176818847656,0.0011994503042688596,0.000976926485417345,6.189131512225694,1000.0,1000.0,1000.0,1000.0,0.0,0.00045604590114493783,0.0013386626506508255,-0.0010454829027760728
65679551,0.000944791710935533,0.0009432864608243108,0.0008656968711875379,-0.0006157669122330844,0.00025809730868786573,-9.817550659179688,0.0011994503042688596,0.000976926485417345,6.189131512225694,1000.0,1000.0,1000.0,1000.0,0.039984,0.000660028202649654,-0.00044448050593367747,0.0004001165262791286
65719535,0.0009793383069336414,0.0008542171563021839,0.0009394959779456258,-0.0006332627963274717,-0.001057899440638721,-9.817716598510742,0.0011994503042688596,0.000976926485417345,6.189131512225694,1000.0,1000.0,1000.0,1000.0,0.079968,-0.0007272944162350428,0.00033289908111712625,0.0007068051274313567
65759519,0.0008866314310580492,0.0009699077345430851,0.0009222186636179686,-0.0008125127642415464,-0.0010695398086681962,-9.816869735717773,0.0011979179463447634,0.0009752047933845008,6.189094760602651,1000.0,1000.0,1000.0,1000.0,0.119952,-0.00042566899647179454,0.0004612153540236811,0.001191131618930823
65799503,0.0009452984086237848,0.0008910996257327497,0.0010347483912482858,-0.0009174885926768184,-0.00327641936019063,-9.816808700561523,0.0011979179463447634,0.0009752047933845008,6.189094760602651,1000.0,1000.0,1000.0,1000.0,0.159936,0.0001769165544133009,3.33444996304267e-05,-0.00030646659564279033
65839487,0.000900779094081372,0.000972574227489531,0.0008977111428976059,-0.000641390448436141,-0.0005558202974498272,-9.817314147949219,0.0011984500584141288,0.0009805991250006999,6.1890596068762616,1000.0,1000.0,1000.0,1000.0,0.19992,-0.0008534757968164282,-0.0009268759134445012,-0.0022433722238367534
65879471,0.0008770476561039686,0.0008169792126864195,0.0008553504012525082,-0.0015109619125723839,-0.0007864624494686723,-9.817789077758789,0.0011984500584141288,0.0009805991250006999,6.1890596068762616,1000.0,1000.0,1000.0,1000.0,0.239904,0.0008054723825809563,-0.0008162603945657317,0.0001520613998863378
65919455,0.0009651911095716059,0.0009072995162568986,0.0009098711889237165,-0.001139251864515245,-0.0015656676841899753,-9.817105293273926,0.0011984500584141288,0.0009805991250006999,6.1890596068762616,1000.0,1000.0,1000.0,1000.0,0.279888,0.0008651423683090371,0.0015700105886564258,0.0004255896567979308
65959439,0.0009462313610129058,0.0009425298194400966,0.0008893839549273252,0.0005792024894617498,-0.0009218831546604633,-9.817265510559082,0.0011949182490778713,0.000977803326004767,6.189026051046527,1000.0,1000.0,1000.0,1000.0,0.319872,-0.0023858852031565774,0.0005239686687287266,0.0004068487523669218
65999423,0.0007743966416455805,0.0009492002427577972,0.0009424060699529946,7.672732317587361e-05,0.001127013354562223,-9.81670093536377,0.0011949182490778713,0.000977803326004767,6.189026051046527,1000.0,1000.0,1000.0,1000.0,0.359856,-0.001515910393610988,0.0003318400056540761,0.00024480875074660464
