TimeUS,GyrX,GyrY,GyrZ,Roll,Pitch,Yaw,C1,C2,C3,C4,TimeSec
65639567,0.0009265571716241539,0.0008897613734006882,0.0009074994595721364,0.06872344017028809,0.05597376450896263,354.6111145019531,1000.0,1000.0,1000.0,1000.0,0.0
65639567,0.0011882575927302241,0.0008291711565107107,0.0009778901003301144,0.06872344017028809,0.05597376450896263,354.6111145019531,1000.0,1000.0,1000.0,1000.0,0.0
65679551,0.000944791710935533,0.0009432864608243108,0.0008656968711875379,0.06872344017028809,0.05597376450896263,354.6111145019531,1000.0,1000.0,1000.0,1000.0,0.039984
65679551,0.000641954829916358,0.0007831552065908909,0.0009344674763269722,0.06872344017028809,0.05597376450896263,354.6111145019531,1000.0,1000.0,1000.0,1000.0,0.039984
65719535,0.0009793383069336414,0.0008542171563021839,0.0009394959779456258,0.06872344017028809,0.05597376450896263,354.6111145019531,1000.0,1000.0,1000.0,1000.0,0.079968
65719535,0.001076304353773594,0.0008090969640761614,0.0012324994895607233,0.06872344017028809,0.05597376450896263,354.6111145019531,1000.0,1000.0,1000.0,1000.0,0.079968
65759519,0.0008866314310580492,0.0009699077345430851,0.0009222186636179686,0.06863564252853394,0.05587511882185936,354.6090087890625,1000.0,1000.0,1000.0,1000.0,0.119952
65759519,0.001082665752619505,0.0008246679790318012,0.0010967626003548503,0.06863564252853394,0.05587511882185936,354.6090087890625,1000.0,1000.0,1000.0,1000.0,0.119952
65799503,0.0009452984086237848,0.0008910996257327497,0.0010347483912482858,0.06863564252853394,0.05587511882185936,354.6090087890625,1000.0,1000.0,1000.0,1000.0,0.159936
65799503,0.0008723038481548429,0.0009725062409415841,0.0009081601747311652,0.06863564252853394,0.05587511882185936,354.6090087890625,1000.0,1000.0,1000.0,1000.0,0.159936
65839487,0.000900779094081372,0.000972574227489531,0.0008977111428976059,0.06866613030433655,0.05618419125676155,354.60699462890625,1000.0,1000.0,1000.0,1000.0,0.19992
65839487,0.0008952956995926797,0.001168132876046002,0.0008869732264429331,0.06866613030433655,0.05618419125676155,354.60699462890625,1000.0,1000.0,1000.0,1000.0,0.19992
65879471,0.0008770476561039686,0.0008169792126864195,0.0008553504012525082,0.06866613030433655,0.05618419125676155,354.60699462890625,1000.0,1000.0,1000.0,1000.0,0.239904
65879471,0.001199666177853942,0.0011434148764237761,0.0012311707250773907,0.06866613030433655,0.05618419125676155,354.60699462890625,1000.0,1000.0,1000.0,1000.0,0.239904
65919455,0.0009651911095716059,0.0009072995162568986,0.0009098711889237165,0.06866613030433655,0.05618419125676155,354.60699462890625,1000.0,1000.0,1000.0,1000.0,0.279888
65919455,0.0009649808635003865,0.0007392468396574259,0.000750057166442275,0.06866613030433655,0.05618419125676155,354.60699462890625,1000.0,1000.0,1000.0,1000.0,0.279888
